symbol,effective_date,split_ratio,current_float_m,status
GRFX,,5,38.52,Vote Approved
HUBC,,5 to 20,22.36,Vote Approved
RDGT,,200,3.60,Vote Approved
BTOG,,2 to 200,88.61,Vote Approved
NKGN,,6,111.32,Vote Approved
NMTC,,2 to 15,48.63,Vote Approved
ATCH,,3,128.17,Vote Approved
STEX,,2 to 10,35.63,Vote Approved
WORX,,2 to 15,15.75,Vote Approved
NVOS,,10 to 30,18.41,Vote Approved
PTPI,,250 to 500,42.32,Vote Approved
TOMZ,,3 to 7,13.64,Vote Approved
BGXX,,5 to 50,92.90,Vote Approved
MWG,,2 to 50,29.75,Vote Approved
EEIQ,,2 to 30,9.98,Vote Approved
NRXP,,2 to 5,21.16,Vote Approved
HTCR,,2 to 10,9.76,Vote Approved
ONFO,,2 to 50,3.57,Vote Approved
UAMY,,5 to 30,137.29,Vote Approved
ATXG,,2 to 100,11.51,Vote Approved
CURI,,3 to 20,38.51,Vote Approved
QNCX,,10,47.75,Vote Approved
EQ,,2 to 20,26.17,Vote Approved
NMRD,,10 to 150,17.00,Vote Approved
ORGN,,5 to 30,141.77,Vote Approved
RCON,,18,9.03,Vote Approved
MSAI,,2 to 10,32.20,Vote Approved
SLNA,,2 to 30,314.35,Vote Approved
VWE,,5 to 25,23.19,Vote Approved
TOPS,,2 to 250,1.51,Vote Approved
BTTX,,10 to 25,35.86,Vote Approved
LEXX,,2 to 12,21.55,Vote Approved
TOMZ,,3,13.64,Vote Approved
ENTX,,5 to 11,44.84,Vote Approved
FEMY,,2 to 25,55.10,Vote Approved
NAVB,,20 to 50,67.83,Vote Approved
NIR,,2 to 20,13.84,Vote Approved
UNCY,,2 to 20,20.83,Vote Approved
TSHA,,5 to 20,269.16,Vote Approved
RGTI,,10,305.94,Vote Approved
APPH,,10 to 20,135.35,Vote Approved
AKU,,2 to 4,41.95,Vote Approved
VSTM,,10 o 30,75.29,Vote Approved
AVAH,,5 to 20,67.94,Vote Approved
AKBA,,5 to 20,244.90,Vote Approved
TIO,,2 to 12,236.32,Vote Approved
PMCB,,5 to 20,6.68,Vote Approved
RKLY,,15 to 25,111.93,Vote Approved
CANF,2026-01-05,20,21.55,Upcoming
MLEC,2026-01-05,15,7.76,Upcoming
ICU,2026-01-05,10,38.00,Upcoming
TRT,2026-01-02,0.5,6.34,Complete
RVYL,2026-01-02,35,0.91,Complete
CODX,2026-01-02,30,1.97,Complete
PAVM,2026-01-02,30,0.82,Complete
RPT,2025-12-31,6,6.13,Complete
BIYA,2025-12-30,25,0.85,Complete
ORIS,2025-12-30,20,0.94,Complete
ILAG,2025-12-30,10,1.14,Complete
XTKG,2025-12-30,6,16.21,Complete
ACET,2025-12-30,16,10.18,Complete
APVO,2025-12-30,18,0.94,Complete
WOK,2025-12-29,100,1.20,Complete
SCWO,2025-12-26,10,11.11,Complete
ECDA,2025-12-26,5,1.26,Complete
ASRT,2025-12-26,15,6.24,Complete
ELPW,2025-12-26,16,1.61,Complete
RBNE,2025-12-24,5,3.57,Complete
TNMG,2025-12-23,20,1.56,Complete
CHR,2025-12-23,50,5.38,Complete
BOXL,2025-12-23,6,0.92,Complete
PRPH,2025-12-22,10,5.98,Complete
INHD,2025-12-22,24,4.04,Complete
VSA,2025-12-22,50,1.10,Complete
MNTS,2025-12-18,17.85,1.68,Complete
PAVS,2025-12-18,100,3.49,Complete
DFLI,2025-12-18,10,12.27,Complete
PCSA,2025-12-17,25,2.25,Complete
INBS,2025-12-16,10,0.94,Complete
STAI,2025-12-16,20,2.49,Complete
XBP,2025-12-15,10,8.60,Complete
NVVE,2025-12-15,40,1.12,Complete
CMND,2025-12-15,40,1.50,Complete
BENF,2025-12-15,8,1.12,Complete
FRGT,2025-12-15,5,1.56,Complete
ARBK,2025-12-12,216,1.67,Complete
BNAI,2025-12-12,10,2.85,Complete
AZI,2025-12-12,50,2.17,Complete
JZXN,2025-12-11,40,2.08,Complete
BNKK,2025-12-11,35,5.15,Complete
SVRE,2025-12-10,3,0.73,Complete
WKHS,2025-12-08,12,2.17,Complete
MTVA,2025-12-05,11,0.55,Complete
TGL,2025-12-05,20,0.53,Complete
IMG,2025-12-05,20,2.42,Complete
STRO,2025-12-03,10,8.46,Complete
PURR,2025-12-03,5,154.77,Complete
SPHL,2025-12-02,8,0.41,Complete
TLRY,2025-12-02,10,112.24,Complete
RUBI,2025-12-02,30,1.99,Complete
XHLD,2025-12-02,15,2.05,Complete
KXIN,2025-12-01,30,0.95,Complete
NIVF,2025-12-01,5,1.32,Complete
MBRX,2025-12-01,25,2.03,Complete
WHLR,2025-12-01,25,0.69,Complete
PMN,2025-11-28,25,1.41,Complete
IVF,2025-11-28,8,1.89,Complete
PLRZ,2025-11-28,6,0.98,Complete
LGHL,2025-11-26,13,0.50,Complete
PHGE,2025-11-25,19,1.48,Complete
RJET,2025-11-25,15,2.20,Complete
MHUA,2025-11-24,100,0.16,Complete
WTO,2025-11-21,100,1.94,Complete
BLMZ,2025-11-21,10,3.33,Complete
EZGO,2025-11-21,25,0.71,Complete
MIGI,2025-11-21,20,0.97,Complete
JXG,2025-11-21,15,1.01,Complete
SMX,2025-11-18,8,1.05,Complete
ASNS,2025-11-18,10,1.73,Complete
EPWK,2025-11-17,40,3.39,Complete
NCEW,2025-11-14,8,0.54,Complete
YDKG,2025-11-14,100,1.77,Complete
YGMZ,2025-11-12,16,12.75,Complete
IOTR,2025-11-10,10,0.69,Complete
RAY,2025-11-07,16,2.13,Complete
IPST,2025-11-05,20,1.13,Complete
FLYE,2025-11-04,20,0.77,Complete
ABP,2025-11-03,30,1.74,Complete
CJET,2025-11-03,100,10.92,Complete
ADTX,2025-11-03,113,0.56,Complete
RETO,2025-11-03,7,1.24,Complete
NCEL,2025-10-31,10,3.29,Complete
REED,2025-10-31,6,4.23,Complete
NVA,2025-10-29,0.2,32.70,Complete
ENVB,2025-10-28,12,0.59,Complete
LGMK,2025-10-28,750,0.91,Complete
CYCU,2025-10-27,30,3.11,Complete
IPW,2025-10-27,30,0.42,Complete
GURE,2025-10-27,10,1.36,Complete
YYAI,2025-10-27,50,18.74,Complete
SONM,2025-10-27,18,0.84,Complete
SMX,2025-10-23,10.9,1.05,Complete
QTI,2025-10-23,3,10.11,Complete
WOK,2025-10-21,100,0.91,Complete
GNPX,2025-10-21,50,2.32,Complete
DHAI,2025-10-20,25,1.32,Complete
ETHZ,2025-10-20,10,19.23,Complete
SENS,2025-10-20,20,38.67,Complete
AEMD,2025-10-20,10,0.74,Complete
JYD,2025-10-13,50,2.47,Complete
LPSN,2025-10-13,20,10.97,Complete
LGCL,2025-10-13,40,1.22,Complete
PSIG,2025-10-13,8,0.81,Complete
CDT,2025-10-13,8,1.60,Complete
CLIK,2025-10-10,30,0.82,Complete
MOVE,2025-10-10,10,0.68,Complete
NCL,2025-10-08,8,22.14,Complete
CHAI,2025-10-07,4,3.10,Complete
GGR,2025-10-06,20,6.07,Complete
PMAX,2025-10-06,8,0.99,Complete
CETY,2025-10-06,15,3.43,Complete
NVNI,2025-10-06,10,7.54,Complete
AREB,2025-10-03,20,6.12,Complete
YHGJ,2025-10-01,10,1.00,Complete
LNAI,2025-09-30,10,15.64,Complete
RAYA,2025-09-30,220,0.85,Complete
POAI,2025-09-30,15,20.12,Complete
YAAS,2025-09-30,80,3.74,Complete
ORKT,2025-09-29,4,1.88,Complete
LESL,2025-09-29,20,6.91,Complete
CETX,2025-09-29,15,0.74,Complete
LYT,2025-09-26,2500,1.05,Complete
LVO,2025-09-26,10,9.67,Complete
IBG,2025-09-26,5,1.40,Complete
MNDR,2025-09-25,5,1.16,Complete
FTEL,2025-09-23,16,4.07,Complete
WHLR,2025-09-22,5,0.69,Complete
BINI,2025-09-22,250,12.48,Complete
NITO,2025-09-22,35,1.47,Complete
BIAF,2025-09-19,30,4.42,Complete
VOR,2025-09-19,20,16.90,Complete
ATHA,2025-09-18,10,3.13,Complete
ECDA,2025-09-18,40,1.88,Complete
SQNS,2025-09-17,10,15.44,Complete
NXTT,2025-09-16,200,4.08,Complete
VCIG,2025-09-16,30,8.83,Complete
SDOT,2025-09-15,10,1.25,Complete
