cik,cash,cash_period_end,opcf,opcf_period_end,cash_tag,opcf_tag,asof_utc
2186,21471000.0,2025-09-30 00:00:00,16435000.0,2025-09-30 00:00:00,CashAndCashEquivalentsAtCarryingValue,NetCashProvidedByUsedInOperatingActivities,2026-01-05T21:13:20.133795+00:00
8504,3784659.0,2025-03-31 00:00:00,-7335102.0,2025-09-30 00:00:00,CashAndCashEquivalentsAtCarryingValue,NetCashProvidedByUsedInOperatingActivities,2026-01-05T21:13:21.016513+00:00
12239,5373000.0,2025-09-30 00:00:00,-4031000.0,2025-09-30 00:00:00,CashAndCashEquivalentsAtCarryingValue,NetCashProvidedByUsedInOperatingActivities,2026-01-05T21:13:21.556319+00:00
22701,5414591.0,2025-09-30 00:00:00,-1146338.0,2025-09-30 00:00:00,CashAndCashEquivalentsAtCarryingValue,NetCashProvidedByUsedInOperatingActivities,2026-01-05T21:13:22.388071+00:00
25743,5745000.0,2025-03-31 00:00:00,-8701000.0,2023-03-31 00:00:00,CashAndCashEquivalentsAtCarryingValue,NetCashProvidedByUsedInOperatingActivities,2026-01-05T21:13:22.876744+00:00
34956,99400000.0,2025-09-30 00:00:00,-22385000.0,2025-09-30 00:00:00,CashAndCashEquivalentsAtCarryingValue,NetCashProvidedByUsedInOperatingActivities,2026-01-05T21:13:23.486633+00:00
38264,4760620.0,2016-09-30 00:00:00,-2199330.0,2025-06-30 00:00:00,CashAndCashEquivalentsAtCarryingValue,NetCashProvidedByUsedInOperatingActivities,2026-01-05T21:13:24.000103+00:00
41719,305000000.0,2025-09-27 00:00:00,103000000.0,2025-09-27 00:00:00,CashAndCashEquivalentsAtCarryingValue,NetCashProvidedByUsedInOperatingActivities,2026-01-05T21:13:24.621538+00:00
58361,9989000.0,2025-09-28 00:00:00,-5541000.0,2025-09-28 00:00:00,CashAndCashEquivalentsAtCarryingValue,NetCashProvidedByUsedInOperatingActivities,2026-01-05T21:13:25.268351+00:00
64463,4600000.0,2023-06-30 00:00:00,-3479000.0,2025-09-30 00:00:00,CashAndCashEquivalentsAtCarryingValue,NetCashProvidedByUsedInOperatingActivities,2026-01-05T21:13:25.809110+00:00
73290,3053000.0,2025-08-31 00:00:00,-268000.0,2025-08-31 00:00:00,CashAndCashEquivalentsAtCarryingValue,NetCashProvidedByUsedInOperatingActivities,2026-01-05T21:13:26.218086+00:00
81955,9490747.0,2025-09-30 00:00:00,14009105.0,2025-09-30 00:00:00,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,NetCashProvidedByUsedInOperatingActivities,2026-01-05T21:13:26.600794+00:00
101594,1415000.0,2025-09-30 00:00:00,-6281000.0,2025-09-30 00:00:00,CashAndCashEquivalentsAtCarryingValue,NetCashProvidedByUsedInOperatingActivities,2026-01-05T21:13:27.460709+00:00
