asof_utc,ticker,borrow_annual,rebate_annual,fee_annual,available
2026-01-05T18:34:17.234223+00:00,ASPS,0.0,0.026636000000000003,0.009764,100000.0
2026-01-05T18:34:17.234223+00:00,ASRT,0.0,0.028096999999999997,0.008303,200000.0
2026-01-05T18:34:17.234223+00:00,ASTC,0.006077999999999997,0.015161,0.021238999999999997,100000.0
2026-01-05T18:34:17.234223+00:00,ATCH,0.242006,-0.102803,0.139203,500000.0
2026-01-05T18:34:17.234223+00:00,ATER,0.0006000000000000033,0.0179,0.018500000000000003,600000.0
2026-01-05T18:34:17.234223+00:00,ATHA,0.050712,-0.007156,0.043556,150000.0
2026-01-05T18:34:17.234223+00:00,ATHE,0.070742,-0.017171000000000002,0.053571,550000.0
2026-01-05T18:34:17.234223+00:00,ATNM,0.0,0.03215,0.00425,900000.0
2026-01-05T18:34:17.234223+00:00,ATON,3.32303,-1.643315,1.6797149999999998,100000.0
2026-01-05T18:34:17.234223+00:00,ATPC,0.58774,-0.27567,0.31207,600000.0
2026-01-05T18:34:17.234223+00:00,ATRA,0.0,0.032891,0.003509,70000.0
2026-01-05T18:34:17.234223+00:00,ATXG,1.874582,-0.919091,0.955491,600000.0
2026-01-05T18:34:17.234223+00:00,ATXI,0.07968599999999999,-0.021643,0.058043,150000.0
2026-01-05T18:34:17.234223+00:00,ATXS,0.0,0.03231,0.00409,2300000.0
2026-01-05T18:34:17.234223+00:00,AUID,0.539926,-0.251763,0.288163,350000.0
2026-01-05T18:34:17.234223+00:00,AUMN,0.012187999999999997,0.012105999999999999,0.024293999999999996,550000.0
2026-01-05T18:34:17.234223+00:00,AUUD,0.262284,-0.112942,0.149342,200000.0
2026-01-05T18:34:17.234223+00:00,AUVI,0.0,0.0339,0.0025,150000.0
2026-01-05T18:34:17.234223+00:00,AVTX,0.010672000000000001,0.012864,0.023536,700000.0
2026-01-05T18:34:17.234223+00:00,AVX,4.8748260000000005,-2.419213,2.455613,80000.0
2026-01-05T18:34:17.234223+00:00,AWIN,2.334642,-1.149121,1.185521,20000.0
2026-01-05T18:34:17.234223+00:00,AYTU,0.275254,-0.119427,0.15582700000000002,300000.0
2026-01-05T18:34:17.234223+00:00,AZ,0.0,0.022141,0.014258999999999999,500000.0
2026-01-05T18:34:17.234223+00:00,AZI,10.16993,-5.066765,5.103165000000001,55000.0
2026-01-05T18:34:17.234223+00:00,AZTR,0.30879599999999996,-0.13619799999999999,0.17259799999999997,100000.0
2026-01-05T18:34:17.234223+00:00,BACK,2.004898,-0.9842489999999999,1.020649,350000.0
